Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-51.62596	13.919513	-19.255848	-81.92414	150.0	-2.4117496	0.23611732	-1.5483534	-3.1421099	270000	-3.7252903e-08	1.2112519	-0.01922039	-0.16228291	0.904391	0.0077774385	0.0995	79.0	750.8792862892151
27	-45.784206	14.674102	-15.941456	-81.121346	150.0	-2.732223	0.14771612	-1.5656118	-3.2066352	280000	-3.3527613e-08	1.239922	-0.01958413	-0.14199807	0.9034061	0.010900445	0.1014	79.0	783.3388109207153
28	-49.808033	15.807249	-19.23202	-93.93875	150.0	-2.4094377	0.25864634	-1.31561	-3.1952698	290000	3.7252903e-09	1.3085396	-0.019259512	-0.12696984	0.90314394	0.00835748	0.1067	79.0	815.6478819847107
29	-48.84346	16.22132	-13.485699	-100.836235	150.0	-2.5908344	0.25652406	-1.4075859	-3.3615983	300000	1.1175871e-08	1.2252069	-0.019035477	-0.06926866	0.901501	0.0102618765	0.100700006	79.0	846.9374377727509
30	-50.30638	16.080633	-23.408459	-87.1907	150.0	-2.5953126	0.24869916	-1.548986	-3.330018	310000	-1.8626451e-09	1.3865978	-0.019745994	-0.14026919	0.9005746	0.0072648902	0.1032	79.0	878.0369684696198
31	-49.50277	15.50504	-18.346195	-88.973495	150.0	-2.6214275	0.20992741	-1.6211387	-3.2786753	320000	-7.450581e-09	1.2936935	-0.019965619	-0.11243719	0.90001065	0.006957417	0.0903	79.0	907.695520401001
32	-47.316784	14.613859	-18.968733	-86.00817	150.0	-2.661007	0.34865057	-1.2152097	-3.6399927	330000	-5.5879354e-09	1.2686929	-0.021022968	-0.17895366	0.8992412	0.0082205385	0.0999	79.0	939.3806350231171
33	-45.655647	17.038292	-5.6709027	-87.20732	150.0	-2.509469	0.1568501	-1.789024	-3.1337628	340000	-1.8626451e-08	1.5212332	-0.019187529	-0.06723547	0.8977444	0.008274678	0.0966	79.0	973.0915973186493
34	-52.05307	15.894551	-16.246338	-97.56126	150.0	-2.461824	0.20870434	-1.3470174	-3.2397275	350000	-7.450581e-09	1.4481295	-0.019612312	-0.1383099	0.89729434	0.0041334704	0.0967	79.0	1003.2379486560822
35	-44.28788	14.176218	-5.599573	-83.707184	150.0	-2.7435532	0.19843403	-1.9702207	-3.3962872	360000	3.7252903e-09	1.2017014	-0.019808605	-0.21956421	0.898305	0.0062481593	0.0998	79.0	1038.2114140987396
36	-50.290977	16.969242	-22.707003	-100.69443	150.0	-2.3487318	0.16493939	-1.1589077	-2.89973	370000	1.4901161e-08	1.4500959	-0.021986166	-0.18000996	0.8974457	0.010073779	0.114800006	79.0	1069.923540353775
37	-49.337727	18.725548	-17.776579	-107.92287	150.0	-2.6507714	0.2165198	-1.74123	-3.3101814	380000	0.0	1.605186	-0.02062288	-0.1269739	0.8969665	0.009246385	0.109799996	79.0	1104.0603458881378
38	-42.687656	13.044889	-17.478794	-70.72443	150.0	-2.478811	0.34522286	-1.0574794	-3.5734851	390000	-3.7252903e-09	0.92866814	-0.021689614	-0.12619285	0.8959009	0.008383211	0.1072	79.0	1140.1164755821228
39	-46.88239	14.000749	-12.5037	-84.58347	150.0	-2.3015566	0.3021549	-1.0143691	-3.148486	400000	7.450581e-09	1.1649354	-0.020380277	-0.17659558	0.8954787	0.008163087	0.092800006	79.0	1174.0927708148956
40	-45.723156	17.006279	-3.1283803	-88.00988	150.0	-2.4992719	0.27484652	-1.1862633	-3.4631016	410000	3.7252903e-09	1.498393	-0.021720354	-0.15463097	0.8961593	0.0093693845	0.1184	79.0	1208.7053761482239
41	-47.857887	17.120169	-18.92095	-92.59956	150.0	-2.411783	0.27411833	-0.9395377	-3.4013138	420000	3.7252903e-09	1.4081122	-0.019869937	-0.1923151	0.8946279	0.008332583	0.0998	79.0	1240.5122587680817
42	-51.60769	14.895254	-22.489988	-88.13868	150.0	-2.516008	0.28690147	-0.92927265	-3.5813098	430000	-1.4901161e-08	1.3858092	-0.020988077	-0.23660181	0.8944798	0.008608551	0.1157	79.0	1272.616171836853
43	-44.824905	14.171945	-20.642021	-94.444435	150.0	-2.6977465	0.2260623	-1.1136898	-3.618865	440000	-2.2351742e-08	1.1327858	-0.024787195	-0.30399826	0.89474064	0.012180439	0.1339	79.0	1307.1405215263367
44	-47.071358	17.420778	-18.55657	-91.30437	150.0	-2.396903	0.284079	-0.56445885	-3.5948594	450000	5.5879354e-09	1.4192578	-0.021381263	-0.12550937	0.8932134	0.010561707	0.1234	79.0	1340.8713853359222
45	-47.64061	16.47928	-18.67916	-86.19297	150.0	-2.487627	0.34653434	-0.992231	-3.5762677	460000	-4.656613e-09	1.4648777	-0.021718822	-0.17018093	0.8914994	0.010662721	0.12010001	79.0	1373.3756210803986
46	-50.102882	16.717716	-19.981699	-94.41254	150.0	-2.580102	0.29895154	-0.9557724	-3.7268372	470000	-1.1175871e-08	1.3286813	-0.02254562	-0.1975247	0.89039844	0.00815687	0.1269	79.0	1407.7212207317352
47	-48.541428	15.735047	-18.715212	-86.55722	150.0	-2.6134093	0.42226097	0.69551915	-4.0179234	480000	-7.450581e-09	1.284827	-0.024424117	-0.28994095	0.8899998	0.009248716	0.1252	79.0	1442.080423116684
48	-53.64468	17.199854	-8.606629	-85.34486	150.0	-2.6199927	0.51488703	-0.7725941	-4.1530128	490000	7.450581e-09	1.4140384	-0.024994213	-0.3487683	0.89058757	0.00870649	0.13800001	79.0	1482.4845967292786
49	-47.079765	17.560406	-6.7000613	-105.878	150.0	-2.7414763	0.57457274	0.45412505	-4.6849747	500000	-3.7252903e-09	1.3998635	-0.023194283	-0.37173694	0.88933533	0.009633886	0.1374	79.0	1523.2355816364288
